"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2111","Проверка сообщения ""Email not found sign in first""","chromium","Tue Oct 01 18:59:06 MSK 2024","passed","Tue Oct 01 18:59:08 MSK 2024","Login Users tests","","",""
"","2262","Регистрация нового пользователя","chromium","Tue Oct 01 18:59:04 MSK 2024","passed","Tue Oct 01 18:59:06 MSK 2024","Login Users tests","","",""
"","2179","Добавление пользователя в избранное","chromium","Tue Oct 01 18:59:03 MSK 2024","passed","Tue Oct 01 18:59:05 MSK 2024","Article tests","","",""
"","2077","Проверка сообщения ""Wrong email/password combination""","chromium","Tue Oct 01 18:59:06 MSK 2024","passed","Tue Oct 01 18:59:08 MSK 2024","Login Users tests","","",""
"","3763","Переход по тегу","chromium","Tue Oct 01 18:58:59 MSK 2024","passed","Tue Oct 01 18:59:02 MSK 2024","Article tests","","",""
"","4840","Редактирование статьи после ее создания","chromium","Tue Oct 01 18:58:59 MSK 2024","passed","Tue Oct 01 18:59:03 MSK 2024","Article tests","","",""
"","4598","Удаление статьи после ее создания","chromium","Tue Oct 01 19:00:19 MSK 2024","passed","Tue Oct 01 19:00:24 MSK 2024","Article tests","","",""
"","2151","Авторизация существующего пользователя","chromium","Tue Oct 01 18:59:05 MSK 2024","passed","Tue Oct 01 18:59:07 MSK 2024","Login Users tests","","",""
"","2880","Пользователь может оставить коментарий к статье","chromium","Tue Oct 01 18:59:03 MSK 2024","passed","Tue Oct 01 18:59:06 MSK 2024","Article tests","","",""
"","4092","Создание новой статьи","chromium","Tue Oct 01 18:58:59 MSK 2024","passed","Tue Oct 01 18:59:03 MSK 2024","Article tests","","",""
